id,lat,lon
GV0353,41.28545,-8.31481
GV0354,41.28549,-8.31486
GV0355,41.28324,-8.31855
GV0356,41.2833,-8.31846
GV0357,41.28337,-8.31832
GV0358,41.28011,-8.32289
GV0359,41.2802,-8.32351
GV0360,41.2802,-8.32331
GV0361,41.28092,-8.32353
GV0362,41.28048,-8.32408
GV0363,41.28037,-8.32425
GV0364,41.28041,-8.32441
GV0365,41.28032,-8.32476
GV0366,41.28016,-8.32479
GV0367,41.28022,-8.32485
GV0549,41.28551,-8.219695
GV0554,41.28536,-8.21957
GV0643,41.28491,-8.21998
GV0662,41.284,-8.220838
GV0666,41.283581,-8.221267
GV0696,41.3362,-8.31435
GV0697,41.28359,-8.27967
GV0698,41.2836,-8.2798
GV0699,41.28371,-8.27978
GV0700,41.28346,-8.28015
GV0701,41.28348,-8.28028
GV0702,41.28307,-8.28106
GV0703,41.28496,-8.27977
GV0704,41.28499,-8.27998
GV0705,41.28507,-8.27576
GV0706,41.28386,-8.27768
GV0707,41.28548,-8.27226
GV0708,41.28558,-8.2721
GV0709,41.2858,-8.27199
GV0710,41.28579,-8.27196
GV0711,41.28594,-8.27192
GV0712,41.28608,-8.27179
GV0713,41.2874,-8.27181
GV0714,41.28856,-8.27111
GV0715,41.28552,-8.26616
GV0716,41.28588,-8.26638
GV0717,41.28589,-8.26635
GV0718,41.28597,-8.26625
GV0719,41.28599,-8.2662
GV0720,41.28598,-8.26618
GV0721,41.28599,-8.26612
GV0722,41.2861,-8.26619
GV0723,41.28674,-8.26566
GV0724,41.28669,-8.2672
GV0725,41.28677,-8.26705
GV0726,41.2868,-8.26709
GV0727,41.28795,-8.26662
GV0728,41.28615,-8.26194
GV0729,41.28604,-8.26161
GV0730,41.28247,-8.25962
GV0731,41.28217,-8.2602
GV0732,41.28133,-8.26224
GV0733,41.30678,-8.21265
GV0734,41.30678,-8.21272
GV0735,41.30678,-8.21279
GV0736,41.30718,-8.21253
GV0737,41.30567,-8.21168
GV0738,41.30526,-8.21186
